section,metric,value,denominator,classification,source
RAG,production_default.evidence_chunks,783,,CURRENT_MEASURED,data/indexes
RAG,production_default.source_bound_chunks,773,,CURRENT_MEASURED,data/indexes
RAG,production_default.catalog_chunks,1847,,CURRENT_MEASURED,data/indexes
RAG,production_default.vector_count,773,,CURRENT_MEASURED,data/indexes
RAG,production_default.dimension,1024,,CURRENT_MEASURED,data/indexes
RAG,strengthened_benchmark_snapshot.evidence_chunks,800,,CURRENT_MEASURED,data/indexes/retrieval_foundation_v1
RAG,strengthened_benchmark_snapshot.source_bound_chunks,790,,CURRENT_MEASURED,data/indexes/retrieval_foundation_v1
RAG,strengthened_benchmark_snapshot.catalog_chunks,1847,,CURRENT_MEASURED,data/indexes/retrieval_foundation_v1
RAG,strengthened_benchmark_snapshot.vector_count,790,,CURRENT_MEASURED,data/indexes/retrieval_foundation_v1
RAG,strengthened_benchmark_snapshot.dimension,1024,,CURRENT_MEASURED,data/indexes/retrieval_foundation_v1
KG,legacy_catalog.nodes,7537,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,legacy_catalog.edges,17667,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,decision_graph.nodes,1058,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,decision_graph.edges,1318,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,consolidated_view.nodes,1651,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,consolidated_view.edges,2429,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,core_candidate.atomic_claims,236,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,core_candidate.derived_relations,171,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,core_candidate.evidence_span_count,87,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,corrected_uat_candidate.atomic_claims,25,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,corrected_uat_candidate.derived_relations,29,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
KG,corrected_uat_candidate.evidence_span_count,32,,CURRENT_MEASURED,metrics.json#/scientific_kg_inventory
retrieval,R0_bm25_only.R1_scientific_evidence.authoritative_source_hit_rate,35,45,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.correct_scope_hit_rate,19,20,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.correct_version_hit_rate,20,25,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.irrelevant_context_rate,0.795556,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.mrr,0.381966,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.ndcg_at_10,0.398469,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.query_count,45,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.recall_at_10,31,45,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R1_scientific_evidence.recall_at_5,26,45,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.authoritative_source_hit_rate,3,12,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.correct_scope_hit_rate,0,0,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.correct_version_hit_rate,0,0,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.irrelevant_context_rate,0.891667,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.mrr,0.1875,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
retrieval,R0_bm25_only.R2_tool_method_discovery.ndcg_at_10,0.202556,,DEVELOPMENT_RESULT,eval_v2/retrieval_benchmark_v1_1_1_dev/report.json
