tool_name	source_chunk_count	dense_vector_chunk_count	source_coverage_score	review_status	has_legacy_embedding	legacy_quality_flag	benchmark_chunk_count	publication_chunk_count	toolkit_module_required	quality_flags
ACTINN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ACTION	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
ACTIONet	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ACTIVA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ADC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ADClust	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ADImpute	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AE-TPGG	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AGImpute	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ALRA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ANS	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
APL	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ASAP	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ASTK	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ASURAT	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
ATAXIC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AUCell	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AWGAN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Alakazam	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AltAnalyze	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AlzScPred	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AmbientContaminationMetrics	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Anchored-Fusion	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AnnSql	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Annotatability	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Asc-Seurat	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Augur	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AutoClass	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AutoImpute	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
AutomaticCellTypeIdentification	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BABEL	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BALDR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BAMMSC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BARtab	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BASIC	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BASiCS	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BASiCStan	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BATMAN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BC_tSNE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BCseq	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BDA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BEANIE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BEARscc	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BEELINE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BEENE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BEER	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BENISSE	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BERMUDA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BESCA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BIRD	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BISCUIT	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BITFAM	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BLGGM	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BPSC	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BRAPeS	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BREM-SC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BRIE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BSDE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BTR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BUSseq	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BZINB	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BackSPIN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BarCounter	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BarMixer	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BasisVAE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BatchAIF	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BatchBench	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BayesEATS	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BayesPrism	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Beyondcell	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
Bfimpute	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BiGCN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BigSur	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BingleSeq	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BioTIP	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Biomodelling	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Bisque	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
