work_group_id	record_type	group_size	canonical_id	member_ids	group_reason
PUBWG_CAND_PUB_ASAP_22e25d8cc7fe	publication	1	CAND_PUB_ASAP_22e25d8cc7fe	CAND_PUB_ASAP_22e25d8cc7fe	has DOI; has source URL; contains preprint version
PUBWG_CAND_PUB_CellPLM_a0805df33b05	publication	1	CAND_PUB_CellPLM_a0805df33b05	CAND_PUB_CellPLM_a0805df33b05	has DOI; has source URL; contains preprint version
PUBWG_CAND_PUB_CellPLM_fd35b2a2133f	publication	1	CAND_PUB_CellPLM_fd35b2a2133f	CAND_PUB_CellPLM_fd35b2a2133f	has DOI; has source URL; contains preprint version
PUBWG_CAND_PUB_CellRank_363ead324201	publication	1	CAND_PUB_CellRank_363ead324201	CAND_PUB_CellRank_363ead324201	has DOI; has source URL; contains non-preprint version
PUBWG_CAND_PUB_CellRank_37ae953d1d1a	publication	3	CAND_PUB_CellRank_37ae953d1d1a	CAND_PUB_CellRank_9c9c58a5793d;CAND_PUB_CellRank_d91736322bb3;CAND_PUB_CellRank_37ae953d1d1a	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version
PUBWG_CAND_PUB_CellRank_4aa201bf932e	publication	1	CAND_PUB_CellRank_4aa201bf932e	CAND_PUB_CellRank_4aa201bf932e	has DOI; has source URL; contains non-preprint version
PUBWG_CAND_PUB_CellTools_7b1588424c79	publication	1	CAND_PUB_CellTools_7b1588424c79	CAND_PUB_CellTools_7b1588424c79	has DOI; has source URL; contains preprint version
PUBWG_CAND_PUB_DoubletFinder_03be3bc27cea	publication	2	CAND_PUB_DoubletFinder_03be3bc27cea	CAND_PUB_DoubletFinder_337f4f369ca5;CAND_PUB_DoubletFinder_03be3bc27cea	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version
PUBWG_CAND_PUB_DoubletFinder_10be5588515f	publication	2	CAND_PUB_DoubletFinder_10be5588515f	CAND_PUB_DoubletFinder_df8991a083db;CAND_PUB_DoubletFinder_10be5588515f	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version
PUBWG_CAND_PUB_Harmony_072fd76703cc	publication	1	CAND_PUB_Harmony_072fd76703cc	CAND_PUB_Harmony_072fd76703cc	has DOI; has source URL; contains preprint version
