publication_id	work_group_id	canonical_flag	duplicate_of	recommended_review_status	recommended_trust_level	reason	missing_fields	validation_notes
CAND_PUB_ASAP_22e25d8cc7fe	PUBWG_CAND_PUB_ASAP_22e25d8cc7fe	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains preprint version		candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_CellPLM_a0805df33b05	PUBWG_CAND_PUB_CellPLM_a0805df33b05	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains preprint version		candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_CellPLM_fd35b2a2133f	PUBWG_CAND_PUB_CellPLM_fd35b2a2133f	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains preprint version		candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper
CAND_PUB_CellRank_363ead324201	PUBWG_CAND_PUB_CellRank_363ead324201	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains non-preprint version		candidate_only; canonical_suggestion_not_verified
CAND_PUB_CellRank_37ae953d1d1a	PUBWG_CAND_PUB_CellRank_37ae953d1d1a	true		review_needed	review_needed	canonical candidate; group_size=3; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; canonical_suggestion_not_verified
CAND_PUB_CellRank_9c9c58a5793d	PUBWG_CAND_PUB_CellRank_37ae953d1d1a	false	CAND_PUB_CellRank_37ae953d1d1a	review_needed	retrieval_only	duplicate candidate; group_size=3; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_CellRank_d91736322bb3	PUBWG_CAND_PUB_CellRank_37ae953d1d1a	false	CAND_PUB_CellRank_37ae953d1d1a	review_needed	retrieval_only	duplicate candidate; group_size=3; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified
CAND_PUB_CellRank_4aa201bf932e	PUBWG_CAND_PUB_CellRank_4aa201bf932e	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains non-preprint version		candidate_only; canonical_suggestion_not_verified; supporting_record_type:protocol
CAND_PUB_CellTools_7b1588424c79	PUBWG_CAND_PUB_CellTools_7b1588424c79	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains preprint version		candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_DoubletFinder_03be3bc27cea	PUBWG_CAND_PUB_DoubletFinder_03be3bc27cea	true		review_needed	review_needed	canonical candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; canonical_suggestion_not_verified
CAND_PUB_DoubletFinder_337f4f369ca5	PUBWG_CAND_PUB_DoubletFinder_03be3bc27cea	false	CAND_PUB_DoubletFinder_03be3bc27cea	review_needed	retrieval_only	duplicate candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_DoubletFinder_10be5588515f	PUBWG_CAND_PUB_DoubletFinder_10be5588515f	true		review_needed	review_needed	canonical candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; canonical_suggestion_not_verified; supporting_record_type:application_paper
